,nombreVoluntario,serviciosDisponibles,estrellas,opinion,nombreMiembro,fotoMiembro
31,Artemio Goñi,"['Nuevas Tecnologías', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Alfredo Sastre,perfil_7mh.png
32,María Teresa Mancebo,"['Nuevas Tecnologías', 'Amigos y Ocio']",2,No ha ido mal,Maricela Escudero,perfil_10mh.png
33,Cebrián Guerrero,"['Nuevas Tecnologías', 'Salud']",2,Está normal,Lupita Ayllón,perfil_10mh.png
34,Roxana Cabrero,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,El servicio no estuvo mal,Julieta Rius,perfil_14mm.png
35,Ricardo Santana,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,No puedo estar más agradecida,Benjamín Neira,perfil_7mh.png
36,Fabiola Patiño,"['Nuevas Tecnologías', 'Salud', 'El día a día']",1,No pudo ayudarme,Martirio Jover,perfil_8mm.png
37,Fermín Pellicer,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",1,No sabía lo que le pedía,Mar Valero,perfil_4mh.png
38,Pedro Gallego,"['Salud', 'Amigos y Ocio']",1,No me ayudó nada,Cirino Puerta,perfil_9mm.png
39,Herminia Lasa,"['Amigos y Ocio', 'El día a día', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,Marina Alarcón,perfil_4mh.png
40,Judith Bellido,"['El día a día', 'Burocracia']",4,No hubiera podido está más feliz,Cristian Losa,perfil_12mh.png
41,Emelina Donoso,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Gil Abad,perfil_14mm.png
42,Bibiana Hierro,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,No me ayudó nada,Gilberto Galán,perfil_8mm.png
43,Fernando Sevilla,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,Tuvo muy poca paciencia,María Gimenez,perfil_4mh.png
44,Reynaldo Lerma,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Calixto Verdú,perfil_13mm.png
45,Ángela Gimenez,"['Nuevas Tecnologías', 'Burocracia']",2,Puede mejorar,Benigno Mínguez,perfil_13mm.png
46,Isidora Morata,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",5,Fue un día estupendo,Mireia Cabrera,perfil_7mh.png
47,Pía Barba,"['Burocracia', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Patricia Maldonado,perfil_8mm.png
48,Jenaro Antón,"['Amigos y Ocio', 'Burocracia']",3,Me ha ayudado en lo que le he pedido,Esperanza Feliu,perfil_14mm.png
49,Noa Moles,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,Llegó tarde,Clímaco Muro,perfil_7mh.png
50,Salvador Leal,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",5,Fue un día estupendo,María Fernanda Araujo,perfil_4mh.png
51,Blas Galván,"['Nuevas Tecnologías', 'Salud', 'El día a día']",3,Ha podido ayudarme en algunas cosas,Sarita Valverde,perfil_7mh.png
52,Xiomara Miranda,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",3,Bien,Dulce Girón,perfil_14mm.png
53,Ibán Valera,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No terminó de ayudarme,Maribel Matas,perfil_4mh.png
54,Ruy Segarra,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",2,Ha llegado tarde,Celestina Barros,perfil_1mm.png
55,Eric Landa,['Servicios del Municipio'],4,No puedo estar más agradecida,Nereida Sola,perfil_12mh.png
56,Emilio Huerta,['Burocracia'],4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",África Peñas,perfil_8mm.png
57,Marcela Jódar,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,No es muy habladora,David Mur,perfil_10mh.png
58,Margarita Romero,['Nuevas Tecnologías'],4,No hubiera podido está más feliz,Graciela Leal,perfil_7mh.png
59,Tomasa Pujol,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,Al final tuvo que irse antes,Celestina Dalmau,perfil_7mh.png
60,Porfirio Chacón,"['Nuevas Tecnologías', 'Amigos y Ocio']",1,No me entendía,Nydia Saura,perfil_10mh.png
61,Araceli Uriarte,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",2,Es amable aunque no divertida,Asdrubal Diéguez,perfil_9mm.png
62,Ciriaco Arévalo,['Amigos y Ocio'],4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Ciríaco Alegria,perfil_4mh.png
63,Rosalinda Canals,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",3,Es muy amable,Quirino Mas,perfil_10mh.png
64,Ezequiel Cuesta,['El día a día'],2,No ha ido mal,Belén Tur,perfil_13mm.png
65,Mónica Bartolomé,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",2,Está normal,Javiera Fabregat,perfil_12mh.png
66,Rogelio Pizarro,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",3,Me ha ayudado en lo que le he pedido,Eva María Barrena,perfil_4mh.png
67,Débora Solé,['Nuevas Tecnologías'],2,No terminó de ayudarme,Poncio Gargallo,perfil_8mm.png
68,Benigna Iglesias,"['Amigos y Ocio', 'El día a día', 'Burocracia']",4,No hubiera podido está más feliz,Vinicio Canales,perfil_7mh.png
69,Carolina Alberdi,"['El día a día', 'Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Darío Seguí,perfil_12mh.png
70,Irma Carbó,['Burocracia'],2,No sabía lo que le pedía,Eugenia Arce,perfil_12mh.png
71,Isabel Nieto,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,No me arregló los papeles,Amaya Criado,perfil_6mh.png
72,Dani Marin,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No terminó de ayudarme,Milagros Román,perfil_1mm.png
73,Trinidad Cruz,['Burocracia'],5,Encantado con toda la ayuda que he recibido,Óscar Rodríguez,perfil_14mm.png
74,Wilfredo Acero,"['El día a día', 'Burocracia']",3,Ha podido ayudarme en algunas cosas,Amalia Valcárcel,perfil_8mm.png
75,Lorenza Lago,"['Nuevas Tecnologías', 'Burocracia']",2,Ha llegado tarde,Blas Peláez,perfil_12mh.png
76,Angelita Escalona,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",2,No sabía lo que le pedía,Rolando Falcó,perfil_10mh.png
77,Anunciación Camino,"['Amigos y Ocio', 'El día a día']",1,Llegó tarde,Violeta Calderón,perfil_12mh.png
78,Sabina Martín,"['Salud', 'Burocracia']",1,No me arregló los papeles,Calixta Gallo,perfil_10mh.png
79,Prudencia Vera,['Nuevas Tecnologías'],4,Es un encanto y me ayudó a hablar con mis nietos,Calixto Viña,perfil_4mh.png
80,Emelina Coronado,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,No me entendía,Amor Murcia,perfil_6mh.png
81,Raúl Cuéllar,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",4,Fue un día estupendo,Reina Farré,perfil_9mm.png
82,Calista Abascal,"['Salud', 'El día a día', 'Servicios del Municipio']",1,No me arregló los papeles,Asdrubal Villar,perfil_8mm.png
83,Elena Morante,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ayudó mucho en casa,Olivia Ariza,perfil_6mh.png
84,Amaya Aliaga,"['Amigos y Ocio', 'El día a día']",3,Me acompañó en lo que necesitaba,Juan Antonio Pavón,perfil_7mh.png
85,Dani Parejo,['Nuevas Tecnologías'],1,No me ayudó nada,Cebrián Arco,perfil_14mm.png
86,Selena Meléndez,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Maxi Tirado,perfil_8mm.png
87,Jose Barco,"['Salud', 'Burocracia', 'Servicios del Municipio']",5,Me ayudó mucho en casa,Virginia Alcántara,perfil_13mm.png
88,Jose Angel Bermúdez,"['Salud', 'El día a día', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Clotilde Torrecilla,perfil_12mh.png
89,Che Torre,"['Salud', 'Servicios del Municipio']",1,No me ayudó nada,Leopoldo Bárcena,perfil_7mh.png
90,Olalla Bayón,"['El día a día', 'Burocracia', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Gloria Sales,perfil_1mm.png
91,Martirio Casas,"['El día a día', 'Burocracia', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Alejo Pineda,perfil_4mh.png
92,Eduardo Talavera,"['Nuevas Tecnologías', 'Servicios del Municipio']",2,Ha llegado tarde,Haroldo Bartolomé,perfil_10mh.png
93,Carmela Dalmau,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Un día agradable,Fanny Luján,perfil_8mm.png
94,Juan Manuel Álamo,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",5,Fue un día estupendo,Purificación Contreras,perfil_10mh.png
95,Salud Rocha,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,"Bueno, podría mejorar",Edelmira Sanabria,perfil_10mh.png
96,Héctor Font,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",1,No sabía lo que le pedía,Odalis Higueras,perfil_6mh.png
97,Leyre Mesa,"['Nuevas Tecnologías', 'Salud']",5,Fue un día estupendo,Abilio Moles,perfil_9mm.png
98,Sabas Perea,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",2,Puede mejorar,Palmira Esteban,perfil_13mm.png
99,Urbano Villar,"['Burocracia', 'Servicios del Municipio']",3,Un día agradable,Jacinta Martin,perfil_4mh.png
100,Vito Carrillo,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Gracias,Marisol Guitart,perfil_12mh.png
101,Jose Miguel Gomila,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",3,Gracias,Dolores Arenas,perfil_9mm.png
102,Bernardo Neira,['El día a día'],2,Está normal,Julio Miranda,perfil_4mh.png
103,Alfonso Grau,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,El servicio no estuvo mal,Noelia Escolano,perfil_13mm.png
104,Dionisia Giménez,"['Salud', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Macario Jáuregui,perfil_9mm.png
105,Adrián Belda,"['Amigos y Ocio', 'El día a día']",5,No hubiera podido estar más feliz,Amanda Pérez,perfil_4mh.png
106,Laura Barral,"['Salud', 'Burocracia']",3,Es muy amable,Felisa Pastor,perfil_10mh.png
107,Jenaro Bauzà,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,El día podría haber estado mejor,Eligio Vergara,perfil_14mm.png
108,Vicenta Angulo,"['Amigos y Ocio', 'Burocracia']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Cecilio Hurtado,perfil_13mm.png
109,Rosalina Murillo,"['Salud', 'Amigos y Ocio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Lorenza Rodriguez,perfil_14mm.png
110,Calisto Vilaplana,['Nuevas Tecnologías'],3,Gran dia,Amarilis Cabrero,perfil_4mh.png
111,Jordán Lopez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No terminó de ayudarme,Agustín Elías,perfil_13mm.png
112,Haydée Torralba,"['Amigos y Ocio', 'Burocracia']",2,No sabía lo que le pedía,Evangelina Cifuentes,perfil_1mm.png
113,Iker Catalán,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ha resuelto muchas dudas,Candela Elorza,perfil_8mm.png
114,Loreto Suárez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",2,El servicio no estuvo mal,Rosalinda Guzmán,perfil_1mm.png
115,Jose Carlos Ramírez,"['Amigos y Ocio', 'Burocracia']",5,No hubiera podido estar más feliz,Cristóbal Villalobos,perfil_6mh.png
116,Goyo Busquets,"['Salud', 'Burocracia', 'Servicios del Municipio']",3,No hemos terminado de congeniar pero ha estado bien,Albina Lumbreras,perfil_12mh.png
117,Cleto Rosa,"['Amigos y Ocio', 'El día a día', 'Burocracia']",5,No puedo estar más agradecida,Ignacia Valentín,perfil_14mm.png
118,Paulino Roda,['Amigos y Ocio'],1,No sabía lo que le pedía,Edu Piquer,perfil_10mh.png
119,Segismundo Solera,"['El día a día', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Ruy Zorrilla,perfil_6mh.png
120,Rosario Balaguer,['Servicios del Municipio'],3,Un día agradable,Claudio Amador,perfil_10mh.png
121,Ignacia Cabello,['El día a día'],3,Gracias,Hipólito Martín,perfil_4mh.png
122,Benjamín Quevedo,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",2,Puede mejorar,Sergio Bellido,perfil_6mh.png
123,Luisa Nicolau,"['Amigos y Ocio', 'El día a día', 'Burocracia']",3,No hemos terminado de congeniar pero ha estado bien,Porfirio Piñol,perfil_13mm.png
124,Nereida Canales,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Un día agradable,Nilda Falcón,perfil_12mh.png
125,Jose Ramón Feliu,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Pili Mata,perfil_10mh.png
126,Goyo Sanabria,"['Salud', 'Burocracia', 'Servicios del Municipio']",2,Es amable aunque no divertida,Francisco Robles,perfil_6mh.png
127,Enrique Español,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Wilfredo Casals,perfil_8mm.png
128,León Sevillano,"['Nuevas Tecnologías', 'Burocracia']",2,No ha ido mal,Vinicio Toro,perfil_4mh.png
129,Josep Benet,"['Nuevas Tecnologías', 'Salud', 'El día a día']",1,No me ayudó nada,Sandalio Ribera,perfil_14mm.png
130,Venceslás Cabañas,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ha ayudado mucho,Flavio Bas,perfil_4mh.png
131,Aureliano Alcolea,"['Nuevas Tecnologías', 'Salud']",2,No ha ido mal,Susana Oliva,perfil_10mh.png
132,Ciro Guzmán,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,No puedo estar más agradecida,Perlita Fuentes,perfil_6mh.png
133,Flavio Ramos,"['Nuevas Tecnologías', 'Amigos y Ocio']",5,Qué bien que pudo ayudarme con mis papeles,Mar Rivero,perfil_7mh.png
134,Amalia Teruel,['Amigos y Ocio'],2,Ha llegado tarde,Amalia Valdés,perfil_14mm.png
135,Ignacio Quero,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",1,No sabía lo que le pedía,Flor Castilla,perfil_8mm.png
136,Vanesa Cózar,"['Salud', 'Burocracia']",1,No es muy habladora,Cándida Aznar,perfil_13mm.png
137,Reynaldo Abril,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Calixta Julián,perfil_12mh.png
138,Rosario Lara,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Gran dia,Ascensión Aguado,perfil_7mh.png
139,Ángeles Sanz,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,"Bueno, podría mejorar",Gloria Vara,perfil_14mm.png
140,Lucho Torrecilla,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Aroa Álamo,perfil_8mm.png
141,Fabián Falcó,"['Nuevas Tecnologías', 'Amigos y Ocio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Gracia Bermúdez,perfil_4mh.png
142,Manu Gelabert,"['Salud', 'Burocracia']",5,Sin duda seguiré utilizando este servicio,Edu Luna,perfil_6mh.png
143,Bautista Barrera,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,"Gracias, ha sido toda una experiencia",Vicente Sabater,perfil_9mm.png
144,Mariana Mir,"['El día a día', 'Burocracia', 'Servicios del Municipio']",5,"Gracias, ha sido toda una experiencia",Sonia Montaña,perfil_12mh.png
145,Baudelio Ayllón,"['El día a día', 'Burocracia']",1,Llegó tarde,Isidro Ledesma,perfil_1mm.png
146,Daniela Tapia,['Amigos y Ocio'],4,Fue un día estupendo,Daniela Mateos,perfil_12mh.png
147,Ani Criado,"['Salud', 'Amigos y Ocio']",2,Está normal,Juan Antonio Coloma,perfil_9mm.png
148,Baudelio Verdejo,"['Amigos y Ocio', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Marianela Borrás,perfil_4mh.png
149,Cecilio Estevez,['Amigos y Ocio'],3,Ha estado bien,Jordi Pi,perfil_13mm.png
150,Bruno Bayo,"['Salud', 'El día a día', 'Servicios del Municipio']",5,Me ayudó mucho en casa,Débora Clavero,perfil_9mm.png
151,Imelda Gutierrez,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",5,No puedo estar más agradecida,Darío Cañas,perfil_13mm.png
152,Sancho Carretero,['El día a día'],3,Me lo he pasado bien,Catalina Sobrino,perfil_9mm.png
153,Tania Hoz,"['Nuevas Tecnologías', 'Amigos y Ocio']",3,No hemos terminado de congeniar pero ha estado bien,Galo Manzano,perfil_9mm.png
154,Cristina Ariño,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Me ayudó mucho en casa,Dani Linares,perfil_13mm.png
155,Estefanía Bilbao,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,Me ayudó mucho en casa,Lucas Azcona,perfil_10mh.png
156,Simón Yáñez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,No puedo estar más agradecida,Gaspar Zurita,perfil_12mh.png
157,Maximiano Julián,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,"Bueno, podría mejorar",Juanita Benet,perfil_10mh.png
158,Hernando Miralles,"['Amigos y Ocio', 'El día a día', 'Burocracia']",3,Un día agradable,Tatiana Giménez,perfil_10mh.png
159,Jorge Priego,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Cecilia Reguera,perfil_9mm.png
160,Eleuterio Marín,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",5,"Gracias, ha sido toda una experiencia",Begoña Padilla,perfil_6mh.png
161,Zacarías Molina,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",3,Bien,Chuy Gárate,perfil_4mh.png
162,Úrsula Belmonte,"['El día a día', 'Servicios del Municipio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Chita Segarra,perfil_10mh.png
163,Agapito Sedano,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",5,Sin duda seguiré utilizando este servicio,Anita Valbuena,perfil_8mm.png
164,Ester Cabo,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,César Doménech,perfil_12mh.png
165,Candelario Garcés,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",2,No sabía lo que le pedía,Nayara Acuña,perfil_10mh.png
166,Antonia Cazorla,"['Amigos y Ocio', 'El día a día']",3,Me ha resuelto muchas dudas,Josué Hervás,perfil_6mh.png
167,Paco Bayona,"['Salud', 'Burocracia']",3,Me ha ayudado en lo que le he pedido,Felisa Iborra,perfil_14mm.png
168,Serafina Hidalgo,"['Salud', 'Burocracia', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Alex Ferrando,perfil_9mm.png
169,Rafael López,"['Salud', 'Burocracia', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Eva Morán,perfil_4mh.png
170,Fausto Ríos,"['Salud', 'Burocracia']",3,Me ayudó mucho en casa,Edelmiro Baeza,perfil_8mm.png
171,Perla Mate,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",3,No hemos terminado de congeniar pero ha estado bien,Marcela Lledó,perfil_6mh.png
172,Emma Ángel,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",2,El servicio no estuvo mal,Gerónimo Somoza,perfil_10mh.png
173,Adán Marí,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Cándida Menéndez,perfil_8mm.png
174,Gracia Calleja,"['Amigos y Ocio', 'Servicios del Municipio']",1,Llegó tarde,Gil Fuster,perfil_8mm.png
175,Selena Cañizares,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",4,No puedo estar más agradecida,Carmelo Domínguez,perfil_7mh.png
176,Juan Luis Carlos,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",3,Ha podido ayudarme en algunas cosas,Jose Luis Daza,perfil_1mm.png
177,Tania Campo,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Andrés Báez,perfil_13mm.png
178,Manuelita Lladó,"['Amigos y Ocio', 'Servicios del Municipio']",3,Ha estado bien,Ignacio Sánchez,perfil_8mm.png
179,Lope Galvez,"['Amigos y Ocio', 'Burocracia']",3,Ha estado muy bien,Socorro Recio,perfil_13mm.png
180,Liliana Novoa,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ayudó mucho en casa,Raquel Ballesteros,perfil_4mh.png
181,Herminio Laguna,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",3,Ha estado muy bien,Macario Expósito,perfil_12mh.png
182,Anselma Torres,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",1,Al final tuvo que irse antes,Dulce Gonzalo,perfil_14mm.png
