,nombre,apellidos,nombreApellidos,movil,codigoPostal,pass,perfil,serviciosDisponibles,status,fotoV,bio,fechaInscripcion,estrellas,nOpinion
14,Nydia,Agudo,Nydia Agudo,630054272,06499,13151572,Ambos,"['Amigos y Ocio', 'Burocracia']",1,perfil_voluntaria_8.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,28/09/2019,2.7,6
15,Martina,Cuervo,Martina Cuervo,631415111,36307,59792649,Ambos,['El día a día'],0,perfil_voluntario_7.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,04/10/2019,2.2,6
16,José,Rocamora,José Rocamora,629701906,18500,75456195,Ambos,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntaria_6.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,24/09/2021,2.7,6
17,Noé,Cortés,Noé Cortés,645825705,36913,17377140,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",0,perfil_voluntaria_8.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",12/10/2019,2.3,6
18,Ildefonso,Navarro,Ildefonso Navarro,625775179,09228,60380802,Ambos,['Salud'],0,perfil_voluntaria_3.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",29/04/2022,3.7,6
19,Cristian,Bru,Cristian Bru,649636103,38190,84687175,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,perfil_voluntario_7.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,04/01/2020,3.0,6
20,Ricardo,Caballero,Ricardo Caballero,646613619,43008,86606090,Voluntario,['Burocracia'],0,perfil_voluntario_1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,23/05/2021,2.0,6
21,Plinio,Núñez,Plinio Núñez,693828239,48011,65301785,Ambos,"['Salud', 'El día a día']",1,perfil_voluntaria_8.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,11/10/2020,2.3,6
22,Elisabet,Lamas,Elisabet Lamas,625924604,33691,16357024,Ambos,"['Salud', 'El día a día', 'Servicios del Municipio']",0,perfil_voluntaria_8.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",16/07/2020,3.3,6
23,Noemí,Aroca,Noemí Aroca,635010999,29602,26526712,Ambos,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,perfil_voluntario_5.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,19/12/2021,2.8,6
24,Luna,Segovia,Luna Segovia,631036001,15142,33771993,Voluntario,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",1,perfil_voluntario_1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,09/03/2021,3.0,6
25,Brunilda,Casanovas,Brunilda Casanovas,699181748,26130,82594337,Ambos,['El día a día'],0,perfil_voluntaria_6.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",31/12/2019,4.2,6
26,Ágata,Pinedo,Ágata Pinedo,601659246,46010,13841783,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntaria_1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,05/03/2021,3.2,6
27,Cayetano,Marcos,Cayetano Marcos,644680691,38009,15133029,Voluntario,"['Salud', 'Burocracia']",0,perfil_11vm.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,17/05/2020,2.5,6
28,Paula,Pardo,Paula Pardo,616871763,12449,47076407,Voluntario,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",0,perfil_voluntaria_7.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,10/06/2022,2.2,6
29,Crescencia,Fernandez,Crescencia Fernandez,609471796,06498,81378802,Voluntario,"['Nuevas Tecnologías', 'Salud', 'El día a día']",0,perfil_voluntaria_6.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",31/10/2020,3.0,6
30,Julie,Baños,Julie Baños,653453230,45682,18360517,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,perfil_voluntario_9.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",23/10/2021,1.8,6
31,Artemio,Goñi,Artemio Goñi,684959112,36817,36034076,Ambos,"['Nuevas Tecnologías', 'Servicios del Municipio']",0,perfil_voluntaria_1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,21/10/2020,3.8,6
32,María Teresa,Mancebo,María Teresa Mancebo,684263253,23266,46760513,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio']",0,perfil_voluntario_10.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,10/08/2019,3.5,6
33,Cebrián,Guerrero,Cebrián Guerrero,627214765,24839,53272013,Ambos,"['Nuevas Tecnologías', 'Salud']",0,perfil_voluntario_10.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,06/07/2021,2.7,6
34,Roxana,Cabrero,Roxana Cabrero,627726179,31589,68146199,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,perfil_voluntario_6.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,15/04/2021,2.8,6
35,Ricardo,Santana,Ricardo Santana,684236994,46199,44660425,Voluntario,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,perfil_2vm.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,13/09/2021,1.8,6
36,Fabiola,Patiño,Fabiola Patiño,604449590,44793,49182239,Ambos,"['Nuevas Tecnologías', 'Salud', 'El día a día']",0,perfil_3vh.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,07/03/2021,2.0,6
37,Fermín,Pellicer,Fermín Pellicer,655413023,23468,31592364,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",1,perfil_11vm.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,21/08/2021,2.5,6
38,Pedro,Gallego,Pedro Gallego,603575591,06009,21472589,Voluntario,"['Salud', 'Amigos y Ocio']",1,perfil_voluntario_1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,18/03/2021,3.2,6
39,Herminia,Lasa,Herminia Lasa,620003393,44123,54448642,Voluntario,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,perfil_voluntario_10.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",26/05/2021,3.3,6
40,Judith,Bellido,Judith Bellido,629631572,31523,74263143,Ambos,"['El día a día', 'Burocracia']",1,perfil_voluntario_1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,23/03/2022,2.8,6
41,Emelina,Donoso,Emelina Donoso,645446026,02360,77843924,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",0,perfil_voluntaria_7.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,09/10/2020,3.5,6
42,Bibiana,Hierro,Bibiana Hierro,680345536,48991,61012033,Ambos,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,perfil_2vm.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,24/08/2020,2.8,6
43,Fernando,Sevilla,Fernando Sevilla,612223553,49562,56458064,Ambos,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntario_7.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,04/12/2021,1.8,6
44,Reynaldo,Lerma,Reynaldo Lerma,609595966,32613,71797973,Voluntario,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",0,perfil_voluntaria_2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,30/06/2020,3.8,6
45,Ángela,Gimenez,Ángela Gimenez,664133853,09471,62134928,Voluntario,"['Nuevas Tecnologías', 'Burocracia']",0,perfil_voluntario_6.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",06/11/2021,2.5,6
46,Isidora,Morata,Isidora Morata,678324971,37197,57355605,Ambos,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",1,perfil_voluntario_2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,08/12/2021,3.5,6
47,Pía,Barba,Pía Barba,624498662,49240,84651509,Voluntario,"['Burocracia', 'Servicios del Municipio']",0,perfil_voluntario_10.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,15/05/2022,3.2,6
48,Jenaro,Antón,Jenaro Antón,620233095,44640,78769546,Ambos,"['Amigos y Ocio', 'Burocracia']",1,perfil_voluntaria_10.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",04/05/2022,2.3,6
49,Noa,Moles,Noa Moles,610913969,37139,56864931,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",0,perfil_voluntario_6.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,07/07/2020,1.7,6
50,Salvador,Leal,Salvador Leal,667174913,28030,67305327,Voluntario,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,perfil_voluntaria_10.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,18/03/2021,3.3,6
51,Blas,Galván,Blas Galván,697142551,32678,51179550,Ambos,"['Nuevas Tecnologías', 'Salud', 'El día a día']",1,perfil_voluntario_8.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,11/12/2021,2.3,6
52,Xiomara,Miranda,Xiomara Miranda,649303878,42113,72424166,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntario_2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,25/11/2021,2.2,6
53,Ibán,Valera,Ibán Valera,627190641,40121,37750528,Voluntario,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntario_7.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,23/08/2020,2.5,6
54,Ruy,Segarra,Ruy Segarra,682875742,09348,74835660,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",0,perfil_voluntario_2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,14/08/2021,2.5,6
55,Eric,Landa,Eric Landa,629434830,43882,24743833,Voluntario,['Servicios del Municipio'],0,perfil_voluntaria_2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,17/02/2020,2.7,6
56,Emilio,Huerta,Emilio Huerta,637083221,27270,66815324,Voluntario,['Burocracia'],0,perfil_voluntario_6.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,12/12/2019,3.5,6
57,Marcela,Jódar,Marcela Jódar,610390203,24524,56784954,Ambos,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,perfil_5vh.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",16/10/2021,1.8,6
58,Margarita,Romero,Margarita Romero,667278231,50020,29511630,Ambos,['Nuevas Tecnologías'],0,perfil_voluntario_8.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,20/10/2021,4.2,6
59,Tomasa,Pujol,Tomasa Pujol,674133219,23150,84431752,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,perfil_voluntaria_8.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",20/06/2022,3.0,6
60,Porfirio,Chacón,Porfirio Chacón,672306139,32161,62249193,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio']",1,perfil_voluntaria_9.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",24/06/2020,2.5,6
61,Araceli,Uriarte,Araceli Uriarte,653528060,40593,59219529,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",1,perfil_voluntario_8.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,28/08/2021,3.0,6
62,Ciriaco,Arévalo,Ciriaco Arévalo,689286486,45280,55635876,Ambos,['Amigos y Ocio'],0,perfil_5vh.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,13/05/2020,2.7,6
63,Rosalinda,Canals,Rosalinda Canals,619217408,22196,53762701,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,perfil_voluntaria_3.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,29/02/2020,3.3,6
64,Ezequiel,Cuesta,Ezequiel Cuesta,653174284,37690,32520100,Voluntario,['El día a día'],0,perfil_voluntaria_6.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,13/08/2021,3.0,6
65,Mónica,Bartolomé,Mónica Bartolomé,635096094,46950,81605835,Voluntario,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",1,perfil_voluntaria_8.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,10/01/2022,3.3,6
66,Rogelio,Pizarro,Rogelio Pizarro,690310099,33937,66255482,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",1,perfil_11vm.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",05/02/2020,2.8,6
67,Débora,Solé,Débora Solé,665662002,33789,15973747,Ambos,['Nuevas Tecnologías'],0,perfil_3vh.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,13/08/2021,2.0,6
68,Benigna,Iglesias,Benigna Iglesias,682036960,34208,79297605,Ambos,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,perfil_2vm.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,23/07/2020,3.2,6
69,Carolina,Alberdi,Carolina Alberdi,628038353,05212,47269386,Ambos,"['El día a día', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntario_8.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,18/04/2020,3.5,6
70,Irma,Carbó,Irma Carbó,632832480,22585,76130374,Voluntario,['Burocracia'],0,perfil_voluntaria_7.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,01/04/2022,2.8,6
71,Isabel,Nieto,Isabel Nieto,624166443,22569,63448709,Voluntario,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",0,perfil_2vm.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,17/02/2021,2.8,6
72,Dani,Marin,Dani Marin,630934414,40100,19986649,Voluntario,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,perfil_voluntaria_1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,24/02/2020,2.3,6
73,Trinidad,Cruz,Trinidad Cruz,649425861,50266,54925340,Voluntario,['Burocracia'],0,perfil_voluntaria_8.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",22/05/2019,2.7,6
74,Wilfredo,Acero,Wilfredo Acero,646860687,48393,62864491,Ambos,"['El día a día', 'Burocracia']",0,perfil_voluntaria_1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",08/12/2020,2.3,6
75,Lorenza,Lago,Lorenza Lago,661239676,08269,73293134,Voluntario,"['Nuevas Tecnologías', 'Burocracia']",0,perfil_voluntaria_1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,16/06/2022,2.3,6
76,Angelita,Escalona,Angelita Escalona,671158710,27634,31384210,Ambos,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",1,perfil_voluntaria_7.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,01/08/2020,3.0,6
77,Anunciación,Camino,Anunciación Camino,668576854,19119,39349573,Voluntario,"['Amigos y Ocio', 'El día a día']",1,perfil_voluntaria_6.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,16/10/2019,3.0,6
78,Sabina,Martín,Sabina Martín,684077278,24249,79797488,Ambos,"['Salud', 'Burocracia']",0,perfil_voluntaria_3.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,04/03/2021,3.0,6
79,Prudencia,Vera,Prudencia Vera,680970647,18198,22240053,Voluntario,['Nuevas Tecnologías'],1,perfil_voluntario_10.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,17/09/2019,3.2,6
80,Emelina,Coronado,Emelina Coronado,677770380,07310,68081105,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,perfil_11vm.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,07/01/2020,2.8,6
81,Raúl,Cuéllar,Raúl Cuéllar,688971675,09228,67428980,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",1,perfil_voluntaria_10.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,08/11/2020,3.2,6
82,Calista,Abascal,Calista Abascal,683475482,46842,81638630,Ambos,"['Salud', 'El día a día', 'Servicios del Municipio']",0,perfil_voluntario_6.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,28/04/2021,2.8,6
83,Elena,Morante,Elena Morante,612516137,39694,29408700,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntaria_10.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,26/01/2021,2.7,6
84,Amaya,Aliaga,Amaya Aliaga,671215097,23470,67873190,Voluntario,"['Amigos y Ocio', 'El día a día']",1,perfil_voluntario_7.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,09/05/2020,2.5,6
85,Dani,Parejo,Dani Parejo,652592821,12180,63540559,Voluntario,['Nuevas Tecnologías'],0,perfil_voluntaria_3.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,09/01/2021,3.7,6
86,Selena,Meléndez,Selena Meléndez,685032458,06249,56487834,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntaria_9.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,13/11/2020,3.7,6
87,Jose,Barco,Jose Barco,644204042,27778,52539353,Ambos,"['Salud', 'Burocracia', 'Servicios del Municipio']",1,perfil_5vh.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,02/08/2021,3.7,6
88,Jose Angel,Bermúdez,Jose Angel Bermúdez,653839600,24980,67053449,Voluntario,"['Salud', 'El día a día', 'Servicios del Municipio']",1,perfil_voluntaria_8.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,07/06/2019,2.8,6
89,Che,Torre,Che Torre,685914822,22148,62072994,Voluntario,"['Salud', 'Servicios del Municipio']",1,perfil_11vm.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",12/06/2019,2.8,6
90,Olalla,Bayón,Olalla Bayón,694722954,37479,67371676,Voluntario,"['El día a día', 'Burocracia', 'Servicios del Municipio']",1,perfil_voluntario_9.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,12/06/2021,3.5,6
91,Martirio,Casas,Martirio Casas,699397392,07750,76424684,Voluntario,"['El día a día', 'Burocracia', 'Servicios del Municipio']",1,perfil_5vh.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,27/05/2021,3.3,6
92,Eduardo,Talavera,Eduardo Talavera,613338987,29315,38863302,Ambos,"['Nuevas Tecnologías', 'Servicios del Municipio']",1,perfil_voluntaria_2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",10/05/2022,2.7,6
93,Carmela,Dalmau,Carmela Dalmau,685191182,40182,61186502,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,perfil_voluntario_5.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,08/04/2021,2.5,6
94,Juan Manuel,Álamo,Juan Manuel Álamo,660419001,44370,43441637,Ambos,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,perfil_voluntario_9.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,02/09/2019,2.3,6
95,Salud,Rocha,Salud Rocha,690798915,50248,71438861,Ambos,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,perfil_voluntaria_9.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",15/11/2020,2.5,6
96,Héctor,Font,Héctor Font,607235868,39530,25452606,Ambos,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntaria_8.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,21/06/2022,3.3,6
97,Leyre,Mesa,Leyre Mesa,688665885,09490,51215345,Ambos,"['Nuevas Tecnologías', 'Salud']",1,perfil_voluntario_2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,20/02/2021,4.0,6
